嫁娶,结婚典礼、迎亲之日
纳采,同结婚姻，收授聘金。俗称,订婚、文定、过订、完聘、大定
归宁,新婚后，新娘与新郎第一次回娘家
安床,安置睡床卧铺，一为新婚安置新床、二为事事不顺重新安新床
合帐,制作蚊帐之事，今应指安置窗帘
冠笄,男弱冠、女及笄，为青少年的所举行的成年礼仪式(一般为16岁)
订盟,订婚仪式的一种，俗称小聘(订)
进人口,指收纳养子女或认干儿子、干女儿
入宅,迁入新宅，即所谓新居落成典礼
安香,安土地公或视先之神位
安门,房屋装设门户等工事
修造,仅指阳宅之改造与修理
动土,(起基)系指阳宅建筑开始动工。注,吾人币误用为(破土)
上梁,装上建筑物屋顶的大梁，西式建筑指屋顶之灌浆(预拌混凝土)
竖柱,架马；架马俗称起工架马，指建筑场所之鹰架
掘井,开渠、筑阴沟、开鱼池；开凿水井、池塘
破屋,坏垣、拆卸；拆除房屋或围墙
补垣,塞穴、填坑覆井；塞内指堵塞洞穴或蚁穴
开市,(开工)新公司行号开业、开幕或年初头一天开张动工
挂匾,指悬挂招牌或各种匾额
立易,交易、订立各种契约互相买卖之事
纳财,五谷入仓，商贵之置货收租、收帐、讨债、借款购屋、贷款…等
开仓,出货财、商家之出货、销货、放债
造车器,造舟船；制造水陆交通工具(适新车交车)
经络,安机器、织布、收蚕、安纺车、机器
酝酿,割蜜、造曲酿酒、养烽取蜜(酝酿辛日不宜)
祭祀,指祠堂拜祭祖先或庙之祭拜神明等事项
祈福,祈求神明降福或设醮还愿等事
求嗣,指向神明祈求后嗣(子孙)之意
开光,佛像塑成后点眼入神，供奉上位之事
沐浴,祈福设醮或后愿时清洁身体之谓
斋醮,庙宇建醮前需举行的斋戒仪式
酬神,还愿，答谢神恩
塑绘,雕刻寺庙绘画雕刻神像或人像等。
普渡,祭祀超渡阴界的好兄弟
造庙,建造寺、庙、宫、观、堂
出行,指远行，如,外出旅行、观光游览
移徙,指搬家迁移住所之意
分居,大家庭分家，另起炉灶，适用于分炉之出火、安香
出火,火指香火，即宜动神位之意
理发,仅指初生婴儿第一次剃胎发或出家之落
习艺,学习特殊技艺，行拜师礼
栽种,栽种植物或接枝
纳畜,牧养、收买入家畜、家禽、宠物…等
捕捉,断蚁、扑灭家中或农作物之害虫生物
放水,建筑、清理池塘或水族箱后，将水注入蓄池
修坟,修理坟墓
启钻,指洗骨，俗谓拾金(捡骨)
破土,仅指理葬用的阴宅墓地破土，与一盘建房屋的(阳宅、动土)不同，须辨之
安葬,处理埋葬事宜的仪式(行丧,指到丧家慰问遗族)
立碑,立墓碑或纪念碑
谢土,建筑物完工后，所举行的祭祀
除服,脱下丧服(成服,即穿上丧服)
移柩,行葬仪时，奖棺木移出屋外之事
入殓,奖尸体放入棺材之意
解除,扫舍；指冲洗宅舍、解除灾厄
